blk_no,postal_code,entity_id,latitude,longitude,hawker_centre_name,hawker_centre_type,hawker_centre_postal_code,hawker_centre_location,hawker_centre_latitude,hawker_centre_longitude,euclidean_distance_to_nearest_hawker_centre_km,nearest_hawker_centre_estimated_walking_km,walking_time_to_nearest_hawker_centre_mins
531,460531,7139,1.3333004415004048,103.92606854147338,Blk 538 Bedok North Street 3,MHC,460538,"Blk 538, Bedok North Street 3, S(460538)",1.3320672671941451,103.92462132065832,0.2116,0.254,3.17
325,820325,11053266,1.4134765740706727,103.89872775356241,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,6.2171,7.4605,93.26
15,460015,8346,1.3209127784786399,103.93553524843288,Blk 16 Bedok South Road,MHC,460016,"Blk 16, Bedok South Road, S(460016)",1.3205008421917948,103.93547364111234,0.0464,0.0556,0.7
417,760417,1663,1.4240251069338203,103.8464525184479,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.1736,2.6083,32.6
464,790464,12993,1.397606630766757,103.8759934950597,Blk 527 Ang Mo Kio Ave 10,MHC,560527,"Blk 527, Ang Mo Kio Ave 10, S(560527)",1.372772089820446,103.85445796431361,3.6588,4.3906,54.88
113A,161113,8407,1.280203282492373,103.8252442228343,Blk 112 Jalan Bukit Merah,MHC,160112,"Blk 112, Jalan Bukit Merah, S(160112)",1.280001821226117,103.82600359589021,0.0874,0.1049,1.31
358,400358,12995,1.3294914875485893,103.89897990678298,Blk 4A Eunos Crescent,MHC,402004,"Blk 4A, Eunos Crescent, S(402004)",1.3203283582527159,103.90426225727037,1.1773,1.4128,17.66
75B,152075,9253,1.2884584780913517,103.8158859154207,Blk 79 Redhill Lane,MK,150079,"Blk 79, Redhill Lane, S(150079)",1.2877834595039153,103.81833417664816,0.2826,0.3392,4.24
354,530354,6760,1.3724841214659376,103.8994587722921,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.1096,2.5315,31.64
136,730136,8768,1.4383781144091845,103.77773329128676,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,0.566,0.6792,8.49
120B,822120,10063,1.3947329874663768,103.90756483658848,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,4.6345,5.5614,69.52
109B,342109,12501,1.333418082907084,103.8726715747717,Blk 69 Geylang Bahru,MHC,330069,"Blk 69, Geylang Bahru, S(330069)",1.3214631112680744,103.87000502438272,1.3635,1.6362,20.45
278,540278,11052968,1.3814615142928877,103.89003374167208,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.5301,3.0361,37.95
613,470613,11215,1.3319668538785856,103.9170688007969,Blk 630 Bedok Reservoir Road,MHC,470630,"Blk 630, Bedok Reservoir Road, S(470630)",1.333159291179886,103.91405397906551,0.3608,0.433,5.41
220,600220,10977,1.3410891149182882,103.73748507314454,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.2685,0.3223,4.03
250A,541250,3897,1.3916706333305664,103.89986998753535,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,3.9399,4.7279,59.1
86,440086,12661,1.3018483331652497,103.90691772251206,Blk 84 Marine Parade Central,MHC,440084,"Blk 84, Marine Parade Central, S(440084)",1.3022852161912308,103.90633860433309,0.0807,0.0969,1.21
147,470147,986,1.3348502733492207,103.91174726076339,Blk 630 Bedok Reservoir Road,MHC,470630,"Blk 630, Bedok Reservoir Road, S(470630)",1.333159291179886,103.91405397906551,0.3183,0.382,4.78
54,461054,5030,1.3248594188737692,103.94255404377773,Blk 58 New Upper Changi Road,MHC,461058,"Blk 58, New Upper Changi Road, S(461058)",1.3242008820651516,103.94112528450631,0.1751,0.2101,2.63
47,310047,11054727,1.336871951940578,103.85404402653617,Blk 75 Toa Payoh Lorong 5,HC,310075,"Blk 75, Lorong 5 Toa Payoh, S(310075)",1.3360207658096421,103.85295699066083,0.1537,0.1844,2.31
205,600205,5485,1.337522217648867,103.74288155171776,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.8767,1.0521,13.15
327,120327,1089,1.3140030581825575,103.76652353876216,Blk 448 Clementi Ave 3,MHC,120448,"Blk 448, Clementi Ave 3, S(120448)",1.3133196935787859,103.76451719342104,0.2359,0.2831,3.54
615,510615,8615,1.376365501773669,103.94161976823561,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,3.4367,4.1241,51.55
354,610354,3970,1.3390461602288461,103.72111138803803,Taman Jurong Market & Food Centre,MHC,618499,"3, Yung Sheng Road, S(618499)",1.3345893785047198,103.72151991984624,0.4982,0.5978,7.47
204,530204,217,1.3588633678395117,103.8850633553387,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,0.1131,0.1357,1.7
230,524230,13181,1.3559008688764516,103.95275413456513,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.4572,1.7486,21.86
61,600061,4400,1.322402001344574,103.73861915465291,Blk 37A Teban Gardens Road,MHC,601037,"Blk 37A, Teban Gardens Road, S(601037)",1.3208317211187113,103.74274735198563,0.4916,0.5899,7.37
271B,642271,6845,1.3505676778692524,103.70434049430874,Blks 221 A/B Boon Lay Place,MHC,641221,"Blk 221A/B, Boon Lay Place, S(641221/642221)",1.34522406539603,103.71280068325645,1.1137,1.3364,16.71
250,680250,10731,1.3792736137418222,103.74544878356193,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,4.075,4.89,61.13
117A,751117,11054880,1.4450462321410256,103.83041305028628,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,1.5212,1.8255,22.82
461D,654461,11055633,1.354451919685985,103.74035981966225,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,1.2549,1.5058,18.82
327A,821327,11053513,1.412506125276197,103.89905626013464,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,6.1204,7.3445,91.81
698C,533698,7187,1.37536472266661,103.88831412679954,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,1.8297,2.1957,27.45
647,730647,1859,1.4378863008865217,103.80102209936246,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.7465,3.2958,41.2
131,460131,10590,1.3269971368083502,103.93583043007793,Blk 216 Bedok North Street 1,MHC,460216,"Blk 216, Bedok North Street 1, S(460216)",1.3270624613393363,103.93322162831844,0.2904,0.3485,4.36
550,460550,4991,1.332410766237805,103.92653931846232,Blk 538 Bedok North Street 3,MHC,460538,"Blk 538, Bedok North Street 3, S(460538)",1.3320672671941451,103.92462132065832,0.2169,0.2602,3.25
177,610177,3885,1.3333320464133944,103.72140726325982,Taman Jurong Market & Food Centre,MHC,618499,"3, Yung Sheng Road, S(618499)",1.3345893785047198,103.72151991984624,0.1405,0.1686,2.11
431A,761431,1637,1.4197340876269748,103.84729232902734,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.4768,2.9721,37.15
340,120340,9155,1.3187284708911584,103.77007719172448,Blk 353 Clementi Ave 2,MHC,120353,"Blk 353, Clementi Ave 2, S(120353)",1.3143806546682972,103.77077281590697,0.4902,0.5882,7.35
406,560406,3731,1.3619776913233688,103.85386033896305,Blk 409 Ang Mo Kio Ave 10,MHC,560409,"Blk 409, Ang Mo Kio Ave 10, S(560409)",1.3626541004343604,103.85528830149764,0.1759,0.211,2.64
531,670531,3315,1.3855670452010405,103.76428582390218,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,5.2966,6.356,79.45
131,160131,8473,1.2802089530037204,103.82835511663389,Blk 112 Jalan Bukit Merah,MHC,160112,"Blk 112, Jalan Bukit Merah, S(160112)",1.280001821226117,103.82600359589021,0.2627,0.3153,3.94
875,520875,6211,1.3526506584615534,103.93197858518978,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.6093,1.9311,24.14
63A,601063,10044,1.3211301202230206,103.73898122881107,Blk 37A Teban Gardens Road,MHC,601037,"Blk 37A, Teban Gardens Road, S(601037)",1.3208317211187113,103.74274735198563,0.4204,0.5045,6.31
7,190007,5422,1.3044247972041898,103.8637024991388,North Bridge Road Market & Food Centre,MHC,198783,"861, North Bridge Road, S(198783)",1.3056343453160728,103.86390934650298,0.1366,0.1639,2.05
856A,521856,8873,1.3523600087193715,103.93807159506983,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.0448,1.2537,15.67
332,400332,6234,1.3269132747107828,103.90263983046242,Blk 4A Eunos Crescent,MHC,402004,"Blk 4A, Eunos Crescent, S(402004)",1.3203283582527159,103.90426225727037,0.7549,0.9059,11.32
742,730742,10899,1.4440070685781927,103.79602227677694,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.1216,2.5459,31.82
338,650338,5734,1.3633875760197263,103.750832642127,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,2.6515,3.1819,39.77
58,330058,3755,1.3232638431865338,103.86794610432693,Blk 69 Geylang Bahru,MHC,330069,"Blk 69, Geylang Bahru, S(330069)",1.3214631112680744,103.87000502438272,0.3044,0.3653,4.57
507,680507,11693,1.3890122153797035,103.74139232225681,Blk 347 Jurong East Ave 1,MHC,600347,"Blk 347, Jurong East Ave 1, S(600347)",1.3451881120087776,103.73114480619329,5.01,6.012,75.15
455,530455,413,1.3774543631003155,103.89538703403201,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.2936,2.7523,34.4
661C,823661,10112,1.4021633625145842,103.9173323911746,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.9257,7.1108,88.88
120A,311120,3929,1.3396402853221414,103.84587069329461,Blk 127 Toa Payoh Lorong 1,MHC,310127,"Blk 127, Lorong 1 Toa Payoh, S(310127)",1.338092760575782,103.8447316938455,0.2139,0.2567,3.21
547,560547,1684,1.3742051418875423,103.85821873686568,Blk 527 Ang Mo Kio Ave 10,MHC,560527,"Blk 527, Ang Mo Kio Ave 10, S(560527)",1.372772089820446,103.85445796431361,0.4479,0.5375,6.72
766,730766,9247,1.4461177359624244,103.7972367323125,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.2758,2.731,34.14
451B,652451,10014,1.3525347127797667,103.74328452340407,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,1.1812,1.4174,17.72
216,550216,5812,1.3575381834317406,103.87312969577576,Serangoon Garden Market,MHC,555945,"49A, Serangoon Garden Way, S(555945)",1.3630850026687606,103.86672495312547,0.943,1.1316,14.15
570,730570,10974,1.4309216514924112,103.78992420443315,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,2.0025,2.4031,30.04
519,550519,5196,1.371749242273492,103.87465332768849,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,1.2321,1.4785,18.48
104C,562104,9715,1.3719216227073598,103.83827643877358,Blks 160/162 Ang Mo Kio Ave 4,MHC,560160,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",1.3742826190622583,103.83897722017583,0.2742,0.329,4.11
217,510217,3818,1.3694152100949522,103.96089217005589,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,3.2067,3.848,48.1
452,510452,4442,1.3715320539226847,103.95737300479779,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,3.2126,3.8551,48.19
111,320111,7289,1.3212636354807843,103.85838218086413,Blk 90 Whampoa Drive,MHC,320090,"Blk 90, Whampoa Drive, S(320090)",1.3230640283908381,103.8549950810287,0.4269,0.5123,6.4
475,640475,11952,1.3480991259290798,103.72507225431801,Blk 347 Jurong East Ave 1,MHC,600347,"Blk 347, Jurong East Ave 1, S(600347)",1.3451881120087776,103.73114480619329,0.7495,0.8994,11.24
172,310172,9016,1.3303896066672514,103.84305595010757,Blk 127 Toa Payoh Lorong 1,MHC,310127,"Blk 127, Lorong 1 Toa Payoh, S(310127)",1.338092760575782,103.8447316938455,0.8776,1.0531,13.16
272A,511272,4515,1.364857351215282,103.96505258473105,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,3.1217,3.7461,46.83
623B,522623,11051981,1.3613853339691595,103.94094956338178,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.7999,2.1599,27.0
23,163023,4302,1.2847369861915807,103.82689522844008,Beo Crescent Market,MHC,169982,"38A, Beo Crescent, S(169982)",1.288830850868405,103.82735397913328,0.4586,0.5503,6.88
219,670219,9651,1.3741869406328915,103.7726867485013,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,3.8843,4.6611,58.26
572B,732572,11496,1.4316125739204038,103.78963592003119,Blks 20/21 Marsiling Lane,MHC,730020,"Blk 20/21, Marsiling Lane, S(730020/730021)",1.4434048227609568,103.77696721902483,1.9264,2.3116,28.9
827,520827,908,1.3496393659671964,103.93376684909249,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,1.2878,1.5453,19.32
473B,532473,11051637,1.3760464461473225,103.90112085985274,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,2.5252,3.0302,37.88
493A,520493,6899,1.3625598898709759,103.9524586737796,Blk 137 Tampines Street 11,MHC,521137,"Blk 137, Tampines Street 11, S(521137)",1.3456395427244823,103.94462454944245,2.0756,2.4907,31.13
304,730304,9732,1.4300399918944455,103.77382225872289,Blk 4A Woodlands Centre Road,HC,731004,"Blk 4A, Woodlands Centre Road, S(731004)",1.4410842154426942,103.77007681196069,1.2982,1.5578,19.47
461B,762461,11052426,1.4286299156872653,103.85055965314939,Chong Pang Market & Food Centre,MHC,760104,"Blk 104/105, Yishun Ring Road, S(760104/760105)",1.431526731266786,103.82841986163255,2.4848,2.9818,37.27
211A,461211,1038,1.325545981294716,103.93149534768142,Blk 208B New Upper Changi Road,HC,462208,"Blk 208B, New Upper Changi Road, S(462208)",1.324818168664196,103.93054429749219,0.1333,0.16,2.0
32,160032,158,1.2874482381183727,103.82842322111091,Blks 22A/B Havelock Road,HC,161022,"Blk 22A/B, Havelock Road, S(161022/162022)",1.2879705111936857,103.82962341389971,0.1457,0.1748,2.19
146A,681146,12856,1.3810365213285443,103.75307406507667,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,4.5149,5.4179,67.72
140C,613140,11052738,1.3274010680315596,103.72417385855773,Taman Jurong Market & Food Centre,MHC,618499,"3, Yung Sheng Road, S(618499)",1.3345893785047198,103.72151991984624,0.853,1.0236,12.79
464,650464,12163,1.3575748454200387,103.74214644650544,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,1.6431,1.9717,24.65
961,530961,671,1.3776794173154108,103.87876134942228,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,2.0235,2.4282,30.35
508,550508,2887,1.3718807719161084,103.87584633198144,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,1.3418,1.6102,20.13
411B,792411,9934,1.390160633983316,103.87704959975888,Chomp Chomp Food Centre,HC,557269,"20, Kensington Park Road, S(557269)",1.3642325151486436,103.8665270206699,3.1148,3.7378,46.72
602,560602,9387,1.380733576214544,103.83533881727833,Blk 628 Ang Mo Kio Ave 4,MHC,560628,"Blk 628, Ang Mo Kio Ave 4, S(560628)",1.3809906014185351,103.8406280943931,0.5893,0.7072,8.84
603C,823603,1045,1.4034139804307042,103.90787996591334,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.5002,6.6002,82.5
654A,641654,7252,1.3361162361262002,103.6984132645536,Quality Road Food Centre,HC,618824,"45, Quality Road, S(618824)",1.333252196135717,103.71047687645445,1.3799,1.6559,20.7
210,600210,5847,1.3388347666841165,103.73878010506832,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,0.5308,0.637,7.96
3,130003,7448,1.3037614272877716,103.7824619684771,Ayer Rajah Food Centre 1,HC,139957,"73A, Ayer Rajah Crescent, S(139957)",1.2974066981176782,103.78748104448137,0.9014,1.0816,13.52
256B,822256,10218,1.4060534674992027,103.89606559863248,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,5.346,6.4152,80.19
921,530921,8418,1.3763769707413405,103.88416782481725,Kovan Market & Food Centre,MHC,530209,"Blk 209, Hougang Street 21, S(530209)",1.359083831888168,103.88605537443924,1.9365,2.3238,29.05
443B,652443,11071,1.3560796786520162,103.73784722613753,Blk 254 Jurong East Street 24,MHC,600254,"Blk 254, Jurong East Street 24, S(600254)",1.3434881256069369,103.73773840345983,1.4017,1.6821,21.03
286,650286,5533,1.346687614470489,103.75827583243374,Bukit Timah Market,MHC,588215,"51, Upper Bukit Timah Road, S(588215)",1.3394524205511975,103.77600731109843,2.1314,2.5576,31.97
